YDR148Q2VUDM ^ B-NP B-NP
P0 G O O
MUO5K47EGO N B-NP B-NP
VA N I-NP I-NP
M , O O
57KTC6T2VR N B-NP B-NP
PV9U5WFFVFG7 N B-AP I-NP
ER7R6AFM5I N B-NP B-NP
6Z1EGVR N I-NP I-NP
YKCVN5 A B-NP B-NP
LCZEN A I-NP I-NP
JK40PYO2OQQ A I-NP I-NP
73SPK N I-NP I-NP
Y5O8K N I-NP I-NP
R4GH R O O
IW9O8XO0 V B-MV B-MV
5625Q7W4XA V B-MV B-MV
8 , O O
HBD ^ B-NP B-NP
NV47 G I-NP I-NP
TXRXWC2 G I-NP I-NP
JPEC7NKX $ O O
QH8 $ O O
4I $ O O
JSAR2 A B-NP B-NP
4P2FKO N I-NP I-NP
HPW0BFPCIR76 N B-NP I-NP
SW , O O
GX4 V B-MV B-MV
5ZQ ^ B-NP B-NP
XZK & O O
IB3O N B-NP B-NP
34QF N I-NP I-NP
C , O O
NV3F A B-NP B-NP
7PDD N I-NP I-NP
U3 P O O
STQ8RUM $ O O
J , O O
A6S6 R O O
VDLD $ O O
5Y9LJSML N B-NP B-NP
4 , O O
RRJM9G V B-NP B-MV
XRGV6 V B-MV B-MV
4FFQH4 A B-AP B-AP
YPY2 P O O
CARU71NJ0 ^ B-NP B-NP
8 , O O
9D9 G B-MV O
DXF ^ B-NP B-NP
3 , O O
6 , O O

0MU6NSN N B-NP B-NP
9X P O O
LUSV0UZI N B-NP B-NP
KV G O O
C , O O
2Q6S7GVWX7I A B-AP B-AP
W , O O
ZCVVZN A B-AP B-AP
5 , O O
U2VCD9 N B-NP B-NP
W , O O
369VBK2B0J V B-MV B-MV
LSHF P O O
FFJJBED0 N B-NP B-NP

I7NGO1 ^ B-NP B-NP
8W30QUEMP ^ I-NP I-NP
FO G O O
3IP V B-NP B-MV
C4 P O O
OO24 V B-MV B-MV
D , O O
O , O O
AMSJ22T N B-NP B-NP
P , O O
GMQLL V B-MV B-MV
3RGW N B-NP B-NP
ZSJ N I-NP I-NP
L9Q P O O
32ZIWCPY366 N B-NP B-NP
W , O O
E5HSS V B-MV B-MV
4MK8 N B-NP B-NP
9N5IL6 N B-NP I-NP
ID1C P O O
8U ^ B-NP B-NP
M G I-NP I-NP
NHL0YZ G I-NP I-NP

54Z G O O
OO6NSSJG7 A B-NP B-NP
RLQX N I-NP I-NP
CE G O O
UL587SX V B-MV B-MV
OQH7 N B-NP B-NP
7MM P O O
UMQQ39 N O B-NP
ND3Z3V N O I-NP
9 , O O
4SV ^ B-AP B-NP
VXRS53 N I-AP I-NP
W , O O
S9 D B-NP B-NP
GXGEVO1G9ST N I-NP I-NP
S , I-NP O
H3KSDUBHQ ! I-NP O
5 , O O
3G5 G O O
5V D B-NP B-NP
DZIRKT1 A I-NP I-NP
T3EQ77 N I-NP I-NP
D , O O
UW ! B-NP B-NP
6T N I-NP I-NP
4MRP N I-NP I-NP
S , O O
6Y D B-NP B-NP
IKFGJCPT N I-NP I-NP
8G5 G O O
0 G O O
G G O O
C G O O
R , O O
QX3N ^ B-NP B-NP
8KMH A B-AP B-AP
RTN R B-AP O
3K7PQNUWG V I-AP B-MV
H , O O
32SF ^ B-NP B-NP
XLF4 N I-NP I-NP
J7M N O I-NP
G , O O
PC6 ^ B-NP B-NP
MWCE6H N I-NP I-NP
2 , O O
U4 , O O
V47668 N B-NP B-NP
Y , O O
VK D O B-NP
NK6D2 N B-NP I-NP
7HKEB2DV A B-AP B-AP
U , O O
1XPM N B-NP B-NP
T5 P O O
W6JV ^ B-NP B-NP
O7L1 ^ O O
CL D B-NP B-NP
QPH5BKD N I-NP I-NP
F , I-NP O
Z5W8YN9 G I-NP O
9MI4 G O O
4Q89T N B-NP B-NP
Y8SEL A B-AP B-AP
F , O O
RY ^ B-NP B-NP
F2 D B-NP B-NP
O8DTR3 N I-NP I-NP
K , O O
029 P O O
3UZ ^ B-NP B-NP
4 , O O
D8N ^ B-NP B-NP
W , O O
2HY V B-NP B-NP
P , O O
WEZQ ^ B-NP B-NP
H , O O
JT2T ^ B-NP B-NP
G , O O
JMS ^ B-MV B-NP
IDIJQRHH ^ B-NP I-NP
CI6S6X4 N I-NP I-NP
4F7 ^ B-NP B-NP
U , O O
DSCURD6 A B-NP B-NP
G6MBLRQ N I-NP I-NP
0QN3RQS $ O O
0PW P O O
M3 $ O B-NP
0H07 N O I-NP
O , O O

9SWW V B-MV B-MV
17 P O O
RLUJDQ1 N B-NP B-NP
J64SNV N I-NP I-NP
03 , O O
80YD P O O
RJ92YH5OE N B-NP B-NP
Y5S3DVO9 N I-NP I-NP
P , O O
JY7JH4TN A B-NP B-NP
QPBLHOLXCKWT N I-NP I-NP
S07 & O O
EOB3SUAN V B-NP B-NP
1DL N I-NP I-NP
3G O B-NP B-NP
RVCC29R2 V B-MV B-MV
EPY1F8O A B-NP B-NP
SEKTFWI82AZX2 N I-NP I-NP
6 , O O
TEE P O O
J4SRIZN A B-NP B-NP
B4ALH N I-NP I-NP
BP0 N I-NP I-NP
4FR & O O
8KQBU A B-NP B-NP
2F29 ^ I-NP I-NP
M & O O
NW49EI01 A B-NP B-NP
NK7U6Y1Y9K N I-NP I-NP
68J & O O
OB2L833L16T N B-NP B-NP
KK6 N I-NP I-NP
BTM & O O
WWZZYK N B-NP B-NP
R , O O

MOOVI1 N B-NP B-NP
